批次,温度,压力,收率,能耗
B01,86.0,1.55,0.796,105.6
B02,88.4,2.85,0.855,96.1
B03,80.5,1.56,0.769,125.4
B04,70.7,1.9,0.765,128.1
B05,75.5,2.68,0.797,90.5
B06,90.1,2.9,0.698,100.9
B07,93.9,2.17,0.813,96.8
B08,91.2,2.71,0.859,141.1
B09,83.4,3.45,0.794,128.6
B10,90.7,2.74,0.862,130.4
B11,87.6,1.59,0.799,110.3
B12,72.0,1.97,0.726,109.5
B13,85.9,2.23,0.803,104.7
B14,76.7,3.37,0.789,132.6
B15,74.3,2.96,0.74,116.6
B16,94.7,2.78,0.733,137.9
B17,91.1,3.05,0.813,92.2
B18,77.9,2.04,0.758,156.0
B19,91.9,2.13,0.85,117.7
B20,92.9,2.42,0.823,107.3
B21,84.0,2.03,0.813,152.8
B22,80.0,1.94,0.83,125.7
B23,72.3,1.59,0.728,133.9
B24,89.8,2.34,0.794,116.7
B25,94.9,2.56,0.887,150.3
